Район,Первичный рынок,Вторичный рынок
район Филёвский Парк,511.8,333.7
район Матушкино,313.5,191.6
район Савёлки,340.0,191.6
район Силино,0.0,0.0
район Крюково,224.6,191.6
район Марфино,559.1,250.2
район Старое Крюково,0.0,191.6
район Щукино,479.1,277.0
район Тёплый Стан,0.0,231.5
район Бирюлёво Западное,0.0,205.8
Можайский район,416.7,288.6
район Ново-Переделкино,0.0,229.6
район Северное Тушино,0.0,245.6
Молжаниновский район,262.0,268.1
район Митино,275.4,241.8
район Куркино,298.4,268.1
район Крылатское,576.2,295.5
район Строгино,0.0,262.9
район Южное Тушино,0.0,245.6
район Солнцево,355.1,239.1
район Свиблово,536.5,270.4
район Покровское-Стрешнево,454.6,277.0
район Хорошёво-Мнёвники,561.2,313.9
район Очаково-Матвеевское,422.7,288.2
район Тропарёво-Никулино,479.1,280.4
район Левобережный,459.6,262.3
район Фили-Давыдково,,288.6
район Ховрино,0.0,262.3
Головинский район,398.2,259.1
район Раменки,646.8,373.5
район Сокол,506.8,327.8
Войковский район,421.5,270.2
район Западное Дегунино,337.7,236.0
Ломоносовский район,0.0,373.5
район Проспект Вернадского,0.0,328.2
район Южное Бутово,275.1,208.3
Обручевский район,505.7,262.8
район Ясенево,0.0,233.0
район Дорогомилово,,387.9
Дмитровский район,326.5,236.0
район Коньково,531.7,262.8
район Черёмушки,540.2,319.2
Хорошёвский район,583.8,325.0
район Коптево,331.6,270.2
район Беговой,799.5,396.5
район Аэропорт,495.7,327.8
Пресненский район,864.1,414.4
район Северный,0.0,236.0
Бескудниковский район,262.8,236.0
Гагаринский район,799.0,373.5
Тимирязевский район,374.5,284.1
район Северное Бутово,0.0,231.9
район Лианозово,306.8,230.4
район Хамовники,2.548,466.0
район Восточное Дегунино,0.0,236.0
Савёловский район,520.3,317.3
Академический район,959.2,317.4
район Зюзино,0.0,269.3
Алтуфьевский район,318.3,224.0
Бутырский район,498.2,284.1
район Чертаново Центральное,361.3,254.2
район Отрадное,359.9,235.9
район Арбат,,518.4
район Чертаново Южное,332.2,235.4
Тверской район,,492.7
район Чертаново Северное,0.0,254.2
район Якиманка,,466.2
район Царицыно,356.0,232.9
район Котловка,527.1,289.3
Останкинский район,415.5,285.4
Донской район,729.8,375.8
район Бибирево,0.0,224.0
район Марьина Роща,527.0,317.3
Нагорный район,451.0,269.3
Лосиноостровский район,296.0,220.3
Даниловский район,560.2,289.3
Мещанский район,,403.7
район Южное Медведково,363.2,251.9
район Замоскворечье,,401.2
район Северное Медведково,299.7,243.1
район Нагатино-Садовники,442.8,277.8
район Москворечье-Сабурово,374.1,232.9
Басманный район,565.4,322.7
Красносельский район,,394.5
район Ростокино,588.2,285.4
Таганский район,,399.3
Алексеевский район,450.7,326.9
район Марьино,338.5,228.3
район Бирюлёво Восточное,295.5,205.8
Бабушкинский район,447.1,251.9
район Сокольники,552.4,312.7
район Нагатинский Затон,514.4,277.8
Южнопортовый район,452.6,309.3
Ярославский район,295.1,220.3
район Богородское,370.1,247.0
район Метрогородок,388.8,247.0
район Лефортово,500.3,262.8
район Орехово-Борисово Северное,0.0,233.9
район Печатники,419.0,250.8
Нижегородский район,376.0,234.1
район Орехово-Борисово Южное,0.0,233.9
район Преображенское,483.1,272.9
район Соколиная Гора,376.1,262.8
район Люблино,281.8,219.8
район Текстильщики,350.7,242.5
район Перово,381.5,236.8
район Братеево,0.0,227.4
район Измайлово,246.3,241.6
район Зябликово,0.0,227.4
Рязанский район,342.6,234.1
район Вешняки,0.0,214.4
район Кузьминки,381.5,242.5
район Гольяново,333.8,224.7
район Северное Измайлово,0.0,224.7
район Новогиреево,0.0,216.6
район Капотня,0.0,228.3
район Восточное Измайлово,0.0,241.6
район Выхино-Жулебино,0.0,214.4
район Восточный,0.0,224.7
район Новокосино,0.0,220.8
район Ивановское,0.0,216.6
район Косино-Ухтомский,0.0,205.7
район Некрасовка,253.4,205.7
Западный административный округ,0.0,0.0
район Кунцево,397.9,289.4
"поселение ""Мосрентген""",327.5,225.6
поселение Марушкинское,224.5,208.9
поселение Внуковское,279.4,266.6
поселение Кокошкино,231.3,219.4
поселение Филимонковское,218.2,204.5
поселение Московский,262.5,308.7
поселение Десёновское,268.9,210.5
поселение Сосенское,284.6,267.9
поселение Воскресенское,153.5,226.7
поселение Рязановское,227.6,194.8
городской округ Щербинка,247.9,185.7
поселение Киевский,0.0,167.7
поселение Новофёдоровское,184.0,158.2
поселение Роговское,0.0,145.9
поселение Вороновское,0.0,158.5
поселение Михайлово-Ярцевское,0.0,164.3
поселение Первомайское,148.4,177.5
поселение Краснопахорское,0.0,167.2
поселение Клёновское,0.0,173.5
городской округ Троицк,222.8,206.5
поселение Щаповское,0.0,164.4
