district_name,price_m2
район Кунцево,289.4
район Крылатское,295.5
Мещанский район,403.7
район Сокольники,312.7
район Коммунарка,208.3
Филимонковский район,204.5
район Внуково,266.6
район Хорошёво-Мнёвники,313.9
район Щукино,277.0
район Строгино,262.9
район Митино,241.8
район Куркино,268.1
район Кузьминки,242.5
Донской район,375.8
район Левобережный,262.3
район Ховрино,262.3
район Западное Дегунино,236.0
Тимирязевский район,284.1
район Коптево,270.2
Дмитровский район,236.0
район Северное Тушино,245.6
район Сокол,327.8
Савёловский район,317.3
район Отрадное,235.9
Молжаниновский район,268.1
район Северный,236.0
район Восточное Дегунино,236.0
Головинский район,259.1
район Беговой,396.5
Хорошёвский район,325.0
Войковский район,270.2
район Аэропорт,327.8
район Южное Тушино,245.6
район Покровское-Стрешнево,277.0
Бескудниковский район,236.0
Алтуфьевский район,224.0
район Лианозово,230.4
район Бибирево,224.0
район Северное Медведково,243.1
район Южное Медведково,251.9
район Фили-Давыдково,288.6
район Филёвский Парк,333.7
район Дорогомилово,387.9
район Раменки,373.5
район Солнцево,239.1
Ново-Переделкино,229.6
Ярославский район,220.3
район Ростокино,285.4
район Текстильщики,242.5
район Люблино,219.8
район Капотня,228.3
район Марьино,228.3
район Печатники,250.8
район Нагатинский Затон,277.8
район Москворечье-Сабурово,232.9
район Орехово-Борисово Северное,233.9
Орехово-Борисово Южное,233.9
район Зябликово,227.4
район Братеево,227.4
район Нагатино-Садовники,277.8
Нагорный район,269.3
район Чертаново Северное,254.2
район Выхино-Жулебино,214.4
район Вешняки,214.4
район Бирюлёво Восточное,205.8
район Царицыно,232.9
район Бирюлёво Западное,205.8
район Чертаново Южное,235.4
район Чертаново Центральное,254.2
район Ясенево,233.0
район Тёплый Стан,231.5
район Коньково,262.8
Алексеевский район,326.9
район Свиблово,270.4
Останкинский район,285.4
район Марфино,250.2
район Марьина Роща,317.3
Бутырский район,284.1
Лосиноостровский район,220.3
Бабушкинский район,251.9
Рязанский район,234.1
район Косино-Ухтомский,205.7
район Некрасовка,205.7
район Новокосино,220.8
район Северное Измайлово,224.7
район Восточное Измайлово,241.6
район Восточный,224.7
район Замоскворечье,401.2
район Хамовники,466.0
Красносельский район,394.5
район Южное Бутово,208.3
район Северное Бутово,231.9
Можайский район,288.6
район Арбат,518.4
Тверской район,492.7
Пресненский район,414.4
Таганский район,399.3
район Якиманка,466.2
Нижегородский район,234.1
район Лефортово,262.8
Южнопортовый район,309.3
Даниловский район,289.3
Академический район,317.4
район Черёмушки,319.2
Гагаринский район,373.5
Ломоносовский район,373.5
район Котловка,289.3
район Зюзино,269.3
Обручевский район,262.8
район Проспект Вернадского,328.2
Тропарёво-Никулино,280.4
район Очаково-Матвеевское,288.2
район Новогиреево,216.6
район Перово,236.8
район Соколиная Гора,262.8
район Преображенское,272.9
район Богородское,247.0
район Метрогородок,247.0
район Гольяново,224.7
район Измайлово,241.6
район Ивановское,216.6
район Крюково,191.6
район Старое Крюково,191.6
район Силино,191.6
район Матушкино,191.6
район Савёлки,191.6
район Бекасово,162.95
район Троицк,206.5
район Щербинка,185.7
район Вороново,158.5
Краснопахорский район,167.2
Басманный район,322.7
