Year,Quarter,NameOfStation,Line,StationLoad,Latitude,Longitude
2021,I квартал,Авиамоторная,Калининская линия,1,55.751933,37.717444
2021,I квартал,Авиамоторная,Некрасовская линия,4,55.751933,37.717444
2021,I квартал,Автозаводская,Замоскворецкая линия,1,55.706634,37.657008
2021,I квартал,Автозаводская,Московское центральное кольцо,2,55.706634,37.657008
2021,I квартал,Академическая,Калужско-Рижская линия,4,55.687147,37.5723
2021,I квартал,Александровский сад,Филёвская линия,3,55.752255,37.608775
2021,I квартал,Алексеевская,Калужско-Рижская линия,1,55.807794,37.638699
2021,I квартал,Алма-Атинская,Замоскворецкая линия,5,55.63349,37.765678
2021,I квартал,Алтуфьево,Серпуховско-Тимирязевская линия,5,55.899034,37.586473
2021,I квартал,Андроновка,Московское центральное кольцо,3,55.741111,37.734444
2021,I квартал,Аннино,Серпуховско-Тимирязевская линия,5,55.583477,37.596999
2021,I квартал,Арбатская,Арбатско-Покровская линия,1,55.752312,37.60349
2021,I квартал,Арбатская,Филёвская линия,4,55.752312,37.60349
2021,I квартал,Аэропорт,Замоскворецкая линия,2,55.800441,37.530477
2021,I квартал,Бабушкинская,Калужско-Рижская линия,4,55.870641,37.664341
2021,I квартал,Багратионовская,Филёвская линия,3,55.743544,37.497042
2021,I квартал,Балтийская,Московское центральное кольцо,1,55.825833,37.496111
2021,I квартал,Баррикадная,Таганско-Краснопресненская линия,1,55.760793,37.581242
2021,I квартал,Бауманская,Арбатско-Покровская линия,1,55.772405,37.67904
2021,I квартал,Беговая,Таганско-Краснопресненская линия,2,55.773505,37.545518
2021,I квартал,Белокаменная,Московское центральное кольцо,4,55.83,37.700556
2021,I квартал,Беломорская,Замоскворецкая линия,5,55.865369,37.475692
2021,I квартал,Белорусская,Замоскворецкая линия,5,55.777439,37.582107
2021,I квартал,Белорусская,Кольцевая линия,5,55.777439,37.582107
2021,I квартал,Беляево,Калужско-Рижская линия,3,55.642357,37.526115
2021,I квартал,Бибирево,Серпуховско-Тимирязевская линия,3,55.883868,37.603011
